DEPT,DT4P,LLD,NPHI,PEF,RHOB,GR,DT4S,WELL
1000.0,76.524,15.802,0.238,2.944,2.243,56.051,114.736,SAWAN-07
1000.5,69.8,14.733,0.194,3.245,2.262,68.89,117.475,SAWAN-07
1001.0,78.752,9.651,0.205,3.255,2.49,53.087,111.735,SAWAN-07
1001.5,79.703,13.214,0.205,3.54,2.254,59.727,118.607,SAWAN-07
1002.0,65.245,12.69,0.172,3.409,2.387,27.398,92.9,SAWAN-07
1002.5,68.489,13.152,0.239,3.289,2.248,51.415,104.804,SAWAN-07
1003.0,75.639,16.527,0.201,3.566,2.395,41.881,105.185,SAWAN-07
1003.5,73.419,13.174,0.22,2.903,2.351,37.374,104.586,SAWAN-07
1004.0,74.916,15.45,0.239,3.04,2.307,41.462,109.789,SAWAN-07
1004.5,70.735,12.474,0.238,2.968,2.317,47.991,104.356,SAWAN-07
1005.0,79.397,13.48,0.247,3.103,2.268,62.991,121.123,SAWAN-07
1005.5,78.889,15.195,0.216,2.856,2.356,36.083,106.582,SAWAN-07
1006.0,75.33,7.316,0.203,3.359,2.284,52.368,114.451,SAWAN-07
1006.5,80.636,10.893,0.217,3.144,2.222,46.19,112.499,SAWAN-07
1007.0,77.338,10.333,0.153,2.832,2.218,48.068,112.356,SAWAN-07
1007.5,70.704,9.741,0.162,2.946,2.334,64.033,116.022,SAWAN-07
1008.0,76.844,11.064,0.167,3.278,2.446,58.457,116.762,SAWAN-07
1008.5,70.206,20.558,0.18,3.41,2.333,68.049,117.034,SAWAN-07
1009.0,79.392,8.998,0.236,3.699,2.311,50.146,113.775,SAWAN-07
1009.5,74.75,17.097,0.184,3.928,2.343,43.649,105.657,SAWAN-07
1010.0,74.076,6.76,0.205,3.304,2.424,49.314,108.068,SAWAN-07
1010.5,71.595,10.835,0.272,2.953,2.338,54.91,109.45,SAWAN-07
1011.0,81.113,12.897,0.206,2.667,2.287,54.119,118.606,SAWAN-07
1011.5,74.227,14.957,0.25,3.267,2.409,38.987,102.475,SAWAN-07
1012.0,72.858,15.626,0.183,2.997,2.354,53.086,111.503,SAWAN-07
1012.5,73.239,16.082,0.212,3.096,2.443,54.739,112.538,SAWAN-07
1013.0,77.662,10.783,0.182,3.047,2.335,82.21,130.815,SAWAN-07
1013.5,76.827,10.362,0.206,3.165,2.222,74.522,126.748,SAWAN-07
1014.0,77.064,16.449,0.254,3.466,2.211,41.761,108.684,SAWAN-07
1014.5,77.154,11.394,0.151,3.239,2.452,48.551,111.133,SAWAN-07
1015.0,85.708,7.795,0.237,3.16,2.458,34.439,108.337,SAWAN-07
1015.5,72.968,8.194,0.23,2.941,2.306,44.912,106.244,SAWAN-07
1016.0,72.439,8.83,0.196,2.781,2.289,55.787,111.727,SAWAN-07
1016.5,70.931,14.498,0.162,3.078,2.437,66.47,118.867,SAWAN-07
1017.0,78.08,12.805,0.223,3.187,2.231,43.251,112.142,SAWAN-07
1017.5,80.645,15.513,0.199,3.642,2.248,44.15,113.502,SAWAN-07
1018.0,74.43,10.49,0.229,3.233,2.371,26.233,95.458,SAWAN-07
1018.5,70.799,12.878,0.221,3.446,2.288,50.048,106.015,SAWAN-07
1019.0,70.878,15.164,0.284,3.075,2.32,39.251,102.516,SAWAN-07
1019.5,78.253,10.932,0.21,2.904,2.307,45.647,111.294,SAWAN-07
